"gene","beta_T","p_T","beta_C","p_C","r_grade_T","r_grade_C","p_T_BH","qc_ok","prognostic_T","replicated","signflip"
"MAP7D2",-0.23742175924281,9.01484577369099e-05,-0.204713700120802,0.00535087994034675,-0.254801823704386,-0.157795096096362,0.000109669656614246,TRUE,TRUE,TRUE,FALSE
"CHD5",-0.359288431470909,1.94246647861706e-08,-0.468136260261213,2.52027451803512e-08,-0.458296245396912,-0.310894812602388,2.72818325648463e-08,TRUE,TRUE,TRUE,FALSE
"PCP4",-0.174596137497647,0.00223445964322447,-0.095353084189722,0.1669452803708,-0.304588501148723,-0.053323402863811,0.00252766927966569,FALSE,TRUE,FALSE,FALSE
"ZNF385A",-0.33121645050952,2.00774474551119e-11,-0.194941058243251,0.00285753831371068,-0.584763427107589,-0.200128138655585,3.32408070448872e-11,TRUE,TRUE,TRUE,FALSE
"HLA-DRB1",0.420090457561178,5.30460128706339e-13,0.191656255613886,0.0064267098740669,0.426702912383657,0.166704163351535,9.43879232573557e-13,TRUE,TRUE,TRUE,FALSE
"NECAB2",-0.526118170223325,2.96260298544849e-19,-0.434190160656984,1.31636900051901e-09,-0.645545356230987,-0.292946891490804,1.01459006350976e-18,TRUE,TRUE,TRUE,FALSE
"EEF1A2",-0.219155142021153,6.18034505072825e-05,-0.233027874425312,0.000696905336267555,-0.2538350210839,-0.138216566595841,7.59256148738114e-05,TRUE,TRUE,TRUE,FALSE
"HSPB8",-0.324454421375551,2.02236180802908e-10,-0.319402048297232,6.15936244457154e-06,-0.483361638683356,-0.293774100091009,3.16984609408946e-10,TRUE,TRUE,TRUE,FALSE
"BASP1",-0.436878080640521,2.0957704064389e-16,-0.249198977255245,0.000261453569590763,-0.600533358198764,-0.26893968448922,4.89665982812827e-16,TRUE,TRUE,TRUE,FALSE
"TSTD1",0.423919017576963,4.25630422791583e-14,0.0790344948117471,0.268885117003853,0.478675555034674,0.126821328804462,7.97060716838171e-14,TRUE,TRUE,FALSE,FALSE
"TGFB2",0.442548719275354,1.04298749523208e-15,0.61752697082596,4.63239524316632e-18,0.474677538103752,0.294127380697607,2.22860575904291e-15,TRUE,TRUE,TRUE,FALSE
"CYP4F24P",-0.168515447334807,0.00235142783658817,-0.0127720839947042,0.852256121666688,-0.193714713180843,-0.0713699778256507,0.00265398175687152,FALSE,TRUE,FALSE,FALSE
"GJB2",0.358483818462257,3.93246934984628e-14,0.215356820328305,0.000605621418693764,0.304914417641923,0.167572780993168,7.39185968016219e-14,TRUE,TRUE,TRUE,FALSE
"TMSB4XP4",0.578007141747418,5.81941460770415e-27,0.154025976792964,0.0012114432617669,0.758151959324217,0.0609368609122298,8.81729486015781e-26,FALSE,TRUE,TRUE,FALSE
