"gene","beta_T","p_BH","beta_R","p_R","r_grade_T","r_grade_R","r_idh_T","r_idh_R","replicated","qc_flag"
"ASTN1",-0.310735240880326,1.28046448189708e-11,-0.14692291781069,0.0445320147268322,-0.425108072383211,-0.203983323212505,0.367350410681015,0.227625161261011,1,1
"ASTN2",-0.366245316152548,7.58288581652333e-12,-0.361069092740122,7.32941972380672e-08,-0.540513686625273,-0.301434531109356,0.580161673982446,0.408364314166716,1,1
"ASXL3",-0.236952659112815,0.00012020539826745,-0.12482463138396,0.107017407616027,-0.334719732161608,-0.204176831124297,0.500683242480393,0.352503295882743,0,1
"ATAD1",-0.404758642578699,2.0930643180874e-18,-0.256863580609489,0.000155241375588836,-0.605730820311244,-0.276625092863538,0.695864431227994,0.318528314801223,1,1
"ATAD2",0.265299685319566,1.33821021659179e-06,0.41287030361953,3.83769389675564e-09,0.368950416413205,0.154213500561566,-0.280006517926484,-0.0875378485908898,1,1
"ATAD2B",0.185798098992917,0.00128444325146485,0.134547038120157,0.0518598701182565,0.137591296420107,-0.0183727560304518,0.00660908186841128,0.100053905810605,0,0
"ATAD3A",0.108919182700793,0.0381574799439728,0.147208020885943,0.0469905359622097,0.0836160838385985,0.165925353991212,-0.153037349958818,-0.127216854906564,1,0
"ATAD3B",0.27969672403388,4.30945943096667e-07,0.163842415297998,0.0213016052253551,0.273376334167833,0.0623120245426728,-0.25636341899436,-0.120437644825834,1,0
"ATAD3C",0.17672284003314,0.000190973567865275,0.265741250392659,2.35195221787952e-05,0.174830586156955,0.165013979857353,-0.335742549436733,-0.369074868352589,1,1
"ATAD5",0.267105642716882,1.05254099738528e-06,0.325384198970746,9.52528552162049e-08,0.31058658474809,0.145833179310162,-0.16879747134474,0.00111413572041947,1,1
"ATCAY",-0.414232038147392,2.54252280454918e-15,-0.42014206182078,3.36384879904747e-11,-0.504601840577719,-0.338432350276717,0.625098754953065,0.456340320162869,1,1
"ATE1",-0.383435759968481,2.07301019390843e-13,-0.283466321570345,0.000179368496503759,-0.479665248051863,-0.260637629975398,0.633887493761989,0.346073060426205,1,1
"ATF3",0.325273144611264,3.61812507823702e-09,0.443833481011447,1.94197661948963e-11,0.412420489385507,0.310589998927743,-0.400693849440284,-0.320259016032502,1,1
"ATF6B",-0.262950556419188,1.32179692496984e-08,0.119149958892211,0.104507061865453,-0.351357585299018,-0.0841727934137253,0.286615597847455,0.107258441080346,0,0
"ATF7",-0.215913659274432,6.43500966283075e-06,0.0202988439384721,0.780334938191829,-0.337230558823509,-0.0484758865347485,0.253114392052625,0.101901564617537,0,0
"ATF7IP",-0.168613225409076,0.0028844055833923,0.0362191144719825,0.59750071975239,-0.151029949634384,-0.0282043161473912,0.346640792603145,0.18652390807619,0,0
"ATG9A",-0.127426961999881,0.00877395279912991,-0.10086625262205,0.132231195703733,-0.256919801264796,-0.11166039802014,0.239317713143139,0.0416945145760867,0,1
"ATIC",-0.269710503118437,1.44313290403583e-08,-0.0994175121371068,0.142109182613182,-0.35924707866467,0.0150156982024408,0.270732764807384,0.00732438779099998,0,0
"ATL1",-0.332746867261474,9.59664493589848e-09,-0.152287527716409,0.02536067766716,-0.459505725346721,-0.253665668605925,0.541564880918437,0.250570341879551,1,1
"ATL3",0.314062272976853,3.26615100825042e-07,0.408104560441958,3.37063810195795e-07,0.334740779083363,0.15134717978443,-0.395633314605585,-0.219779744925158,1,1
"ATN1",-0.368787435678776,5.89035953865261e-15,-0.092131097204381,0.181868045599388,-0.58202253134817,-0.167850668725258,0.536393307731479,0.232887099965169,0,1
"ATOH7",-0.340252608481808,3.34779064929005e-06,-0.351073962035409,3.05234828239711e-05,-0.450655354643019,-0.206292556490621,0.440361386383837,0.189123321151525,1,1
"ATOH8",-0.655085228080729,3.30646542072638e-26,-0.66059055400717,2.36736891665135e-18,-0.645049237430534,-0.369263624777504,0.761920187182724,0.618733091054899,1,1
"ATP10A",-0.271283198683065,1.33567283755789e-06,-0.210358301498931,0.00802467213964595,-0.423463421232217,-0.290984594186828,0.361559436290195,0.201528729069706,1,1
"ATP10D",0.404598976612156,9.39278787908614e-12,0.220159437155799,0.00183060075332285,0.40075981499797,0.0221124683429304,-0.397988269641652,-0.0473836863688266,1,0
"ATP11B",0.223060805268798,7.18971380981056e-05,0.290916078597694,6.05616291152396e-05,0.217545890757415,0.0822904404741654,-0.126922418554207,-0.0599228258469237,1,0
"ATP11C",0.149159201476234,0.00987834836009803,0.269977063496395,0.000177523839945581,0.181711218902825,0.0896502965982712,-0.0798232169076021,-0.00706372639177952,1,0
"ATP13A2",-0.105826009226576,0.0334776514228881,-0.0855662267675877,0.224153838122745,-0.354940402277465,-0.0407502346284848,0.190120668254234,-0.0625535768669458,0,0
"ATP13A3",0.318160594532789,2.34352660138077e-08,0.353589018264218,4.33344158653473e-06,0.291861454894607,0.10932738555725,-0.248854425255499,-0.122499989455756,1,1
"ATP1A1",0.217503934963341,0.000238296692726153,0.202128758695039,0.00840403243302975,0.17200511486718,0.141048925350097,-0.280526594158068,-0.33284469069723,1,1
"ATP1A2",-0.243103469383561,5.21471644250704e-06,-0.185825375063263,0.00718244976980223,-0.422628717304915,-0.285192908717589,0.207435175591032,0.173083022481847,1,1
"ATP1A3",-0.545390373968675,9.48327498975601e-19,-0.416958594891738,7.42462400902857e-10,-0.599389412582701,-0.368509891285383,0.584667152770636,0.415190796100577,1,1
"ATP1B1",-0.198791995093169,0.000298008414372203,-0.113367076217707,0.0978764624838056,-0.346892886494893,-0.184276238880442,0.161469625667119,0.0460559400579707,0,1
"ATP1B2",-0.268838933174588,9.78306289569843e-09,-0.0757619501731883,0.28800044604514,-0.452006171813474,-0.171893152299283,0.215113631299146,0.106191725845577,0,1
"ATP2A2",-0.140881060642892,0.00378641167559882,0.030416856741485,0.670013821673312,-0.289521301690549,-0.119696325883299,0.241240250423837,0.0656587619132693,0,1
"ATP2A3",0.205363383810359,3.4857780473613e-05,0.206882894054058,0.000359064383274697,0.085966202134036,0.187156314501347,-0.235496037423747,-0.373147831336885,1,0
"ATP2B2",-0.35177209150414,5.53400976696414e-10,-0.238456905855574,0.000931299413423091,-0.493787120002242,-0.324302749026763,0.419708830121424,0.256235616069352,1,1
"ATP2B3",-0.471170555329564,1.51219025779076e-11,-0.485327884823974,6.70958410847309e-08,-0.449179322143807,-0.321998778037496,0.456558417093558,0.304271938162122,1,1
"ATP6AP1",-0.13143407115341,0.00425182008153511,-0.0281695692507184,0.693093010388117,-0.192063664290244,0.143779880662057,0.061521142842481,-0.180857860340873,0,0
"ATP6V0A1",-0.351073708123686,1.47618787196535e-14,-0.361892256663337,4.47741898912331e-08,-0.651667368823174,-0.249600635720299,0.610770316457125,0.248578831280888,1,1
"ATP6V0E2",-0.301665721613588,1.00011673849056e-11,-0.231491879989291,0.000257310330268162,-0.409733334957559,-0.207749987233149,0.377448108310358,0.226439645351059,1,1
"ATP6V1A",-0.203696090378437,0.00010110906324809,-0.164986125550864,0.0166485139304458,-0.288711254419297,-0.192962209363056,0.296631482994873,0.16763149290815,1,1
"ATP6V1B2",-0.101714639999027,0.0477073143815773,-0.0999287446586311,0.136690437805478,-0.217814443492742,-0.0618836622411258,0.179280837994616,0.00369774937349276,0,0
"ATP6V1C1",-0.242647219064087,9.55632853650334e-08,-0.0842968673155923,0.221492690283222,-0.483626053157186,-0.146185834953857,0.420410058953215,0.147862733704898,0,1
"ATP6V1G2",-0.601046133126987,1.4443512337544e-27,-0.413736406988774,1.58620488806907e-09,-0.698946951421867,-0.407342147479479,0.730341515457728,0.428701892108911,1,1
