"setting","anchor","rep","arm","n_disc","n_repl","n_prog","replic_rate","auc_anchor_product","auc_anchor_absdiff","auc_level_concord","auc_range_concord","auc_coexpr_preserv","auc_effsize"
"glioma: TCGA->CGGA-325","grade",2,"real",513,222,1721,0.865775711795468,0.9424823498649,0.777105668380836,0.568273337400854,0.705932769691159,0.872686597518812,0.782413783084924
"glioma: TCGA->CGGA-325","grade",2,"null_ratematched",513,222,1721,0.865775711795468,0.95413870246085,0.480810017722769,0.560170254801127,0.492600017432232,0.867369766698626,0.910732444289491
"glioma: TCGA->CGGA-325","grade",3,"null",513,222,1694,0.89728453364817,0.888921657592256,0.69072519661222,0.511781609195402,0.531030701754386,0.890887779794313,0.868855868118572
"glioma: TCGA->CGGA-325","grade",3,"real",513,222,1694,0.858323494687131,0.946925149014214,0.788798143053645,0.583468019257221,0.696389270976616,0.878152223750573,0.706496446584136
"glioma: TCGA->CGGA-325","grade",3,"null_ratematched",513,222,1694,0.858323494687131,0.8745472260431,0.655418959193031,0.501166322787712,0.547807771664374,0.858310408069693,0.857654172397983
"glioma: TCGA->CGGA-325","grade",4,"null",513,222,1696,0.930424528301887,0.910120083349445,0.695446929174454,0.42982427874804,0.500397413589397,0.809676483856416,0.925651436059376
"glioma: TCGA->CGGA-325","grade",4,"real",513,222,1696,0.866745283018868,0.942583227981458,0.809111432183493,0.57416471013184,0.717539582204563,0.873707181987839,0.717006802721088
"glioma: TCGA->CGGA-325","grade",4,"null_ratematched",513,222,1696,0.866745283018868,0.911254590331708,0.668752633796882,0.459258924808862,0.47810788032027,0.799674914213473,0.915221840948769
"glioma: TCGA->CGGA-325","grade",5,"null",513,222,1723,0.885664538595473,0.902834789203718,0.617619468967674,0.561362774514174,0.474516169807932,0.873006632914424,0.904537924702783
"glioma: TCGA->CGGA-325","grade",5,"real",513,222,1723,0.856065002901915,0.944447785675232,0.774811372334609,0.568745215965008,0.692118644067797,0.868624931656643,0.725008201202843
