"delta","frac","rep","nA","nB","coupling_A","coupling_B","n_prog","replic_rate","auc_replication","auc_detect_corrupt","replic_corrupt","replic_clean"
0.2,0,5,468,248,-0.817069380437326,-0.469545665949381,1827,0.850574712643678,0.847407847407847,NA,NA,0.850574712643678
0.2,0,6,480,236,-0.838641460545269,-0.429228393030478,1795,0.919777158774373,0.935632444982839,NA,NA,0.919777158774373
0.3,0,1,514,202,-0.85034990036193,-0.30750436720832,1811,0.876311430149089,0.903150036006841,NA,NA,0.876311430149089
0.3,0,2,521,195,-0.844448514153951,-0.33093282410532,1833,0.771412984178942,0.720731653799543,NA,NA,0.771412984178942
0.3,0,3,482,234,-0.851966236423535,-0.368086508757528,1802,0.890677025527192,0.883650394547496,NA,NA,0.890677025527192
0.3,0,4,517,199,-0.832358670844173,-0.369763237792749,1816,0.875550660792952,0.91036622697167,NA,NA,0.875550660792952
0.3,0,5,520,196,-0.826211545308442,-0.390682716316298,1825,0.815342465753425,0.85102581283303,NA,NA,0.815342465753425
0.3,0,6,523,193,-0.847504426154642,-0.299087593545756,1789,0.826159865846842,0.780819652872353,NA,NA,0.826159865846842
0.4,0,1,560,156,-0.881033699920192,-0.113390556776253,1850,0.611891891891892,0.745237310156796,NA,NA,0.611891891891892
0.4,0,2,568,148,-0.875716369333751,-0.0457023805584303,1840,0.315217391304348,0.550879857690203,NA,NA,0.315217391304348
0.4,0,3,552,164,-0.884372337181784,-0.066283588756135,1826,0.553669222343921,0.48749764856517,NA,NA,0.553669222343921
0.4,0,4,553,163,-0.884127681748261,-0.125447450283946,1835,0.643051771117166,0.733753396299651,NA,NA,0.643051771117166
0.4,0,5,562,154,-0.856949321256805,-0.0294279271467613,1838,0.346572361262242,0.52636669860412,NA,NA,0.346572361262242
0.4,0,6,565,151,-0.863372946789201,-0.0885976760439553,1858,0.228740581270183,0.610577562497434,NA,NA,0.228740581270183
0,0.25,1,366,350,-0.664960892271298,-0.738567554934979,1786,0.916573348264278,0.9089388429481,0.6033765625,0.866666666666667,0.929172510518934
0,0.25,2,349,367,-0.702481098792502,-0.698004424778742,1705,0.955425219941349,0.959783205712255,0.6045578125,0.918079096045198,0.965210954848261
0,0.25,3,347,369,-0.716718303511706,-0.685153572375692,1774,0.932356257046223,0.91071140669085,0.6197546875,0.863372093023256,0.948951048951049
0,0.25,4,356,360,-0.665264242368752,-0.736461478665642,1718,0.963329452852154,0.952496043734714,0.6229515625,0.921965317919075,0.973760932944606
0,0.25,5,343,373,-0.710649475140009,-0.6904765369035,1779,0.931984260820686,0.933176484662393,0.621309375,0.885474860335196,0.943701618578466
0,0.25,6,349,367,-0.684305695306162,-0.715318857397358,1770,0.934463276836158,0.884756911145395,0.6200859375,0.859943977591036,0.953290870488323
0,0.5,1,353,363,-0.67369104952176,-0.731186888297106,1775,0.87830985915493,0.870771268381916,0.7345140625,0.608450704225352,0.945774647887324
0,0.5,2,349,367,-0.671341604918431,-0.726334550087837,1723,0.874637260591991,0.889401926810686,0.7241890625,0.590643274853801,0.944967414916727
0,0.5,3,363,353,-0.72706470621339,-0.671544116808164,1720,0.917441860465116,0.901109445009729,0.7264828125,0.744444444444444,0.963235294117647
0,0.5,4,365,351,-0.685314965492478,-0.715130520344095,1726,0.885863267670915,0.870696151892515,0.726490625,0.658263305322129,0.945215485756026
0,0.5,5,359,357,-0.67744394655426,-0.722502557942476,1777,0.864940911648846,0.870486337020169,0.7452265625,0.581460674157303,0.935960591133005
0,0.5,6,326,390,-0.654776686754504,-0.742153231400117,1656,0.929347826086957,0.920011329368055,0.7404609375,0.785498489425982,0.965283018867925
0,0.75,1,340,376,-0.701909406732596,-0.698943512348855,1738,0.80379746835443,0.932515633626309,0.863403125,0.244186046511628,0.941893830703013
0,0.75,2,354,362,-0.684014010080615,-0.715891645147492,1636,0.840464547677262,0.94057819575061,0.8532046875,0.351515151515152,0.964012251148545
0,0.75,3,358,358,-0.718560359682011,-0.680587011374349,1742,0.809414466130884,0.948179953857985,0.86830625,0.214076246334311,0.954318344039971
0,0.75,4,375,341,-0.681225026134218,-0.72204462499069,1803,0.759844703272324,0.923005343807421,0.8543828125,0.195054945054945,0.90271021542738
0,0.75,5,364,352,-0.699139679547323,-0.700731889162268,1764,0.785714285714286,0.930407628820327,0.8551734375,0.180281690140845,0.938254080908446
0,0.75,6,353,363,-0.708093131388336,-0.688978673533781,1756,0.796127562642369,0.92435522414303,0.85951875,0.222543352601156,0.936879432624113
