"mode","dose","rep","n_prog","replic_all","replic_corrupt","replic_clean","auc_detect","var_frac_corrupted","var_frac_uncorrupted"
"compress",0.75,2,1788,0.906040268456376,0.836565096952909,0.923615977575333,0.6409453125,0.246718482788465,0.347159357118241
"compress",0.75,3,1696,0.959316037735849,0.936936936936937,0.964783565663976,0.657646875,0.228147393579921,0.329266871694755
"compress",0.75,4,1719,0.95695171611402,0.92022792022792,0.966374269005848,0.6510109375,0.222267180993281,0.319519987773743
"compress",0.5,1,1756,0.919134396355353,0.791666666666667,0.952005730659026,0.729803125,0.135654168317847,0.352940052385864
"compress",0.5,2,1772,0.908577878103837,0.788300835654596,0.939136588818117,0.7239515625,0.128388482533845,0.332127275537758
"compress",0.5,3,1672,0.92822966507177,0.847761194029851,0.948391922213912,0.734290625,0.144305724914872,0.358999441387857
"compress",0.5,4,1758,0.910693970420933,0.768802228412256,0.94710507505361,0.73098125,0.1363048422286,0.342817249271676
"compress",0.25,1,1751,0.861222158766419,0.560693641618497,0.935231316725979,0.8296625,0.0530363706079477,0.341751684219792
"compress",0.25,2,1794,0.825529542920847,0.358166189111748,0.93840830449827,0.85479375,0.0441268157390437,0.321582482421556
"compress",0.25,3,1813,0.750137892995036,0.306818181818182,0.856947296372348,0.8544359375,0.0432028113247174,0.324032884549139
"compress",0.25,4,1708,0.878805620608899,0.494082840236686,0.973722627737226,0.8517625,0.0435982703430113,0.346304667718528
"floor",0.25,1,1733,0.960761684939411,0.944281524926686,0.964798850574713,0.5302375,0.323052109856936,0.329810941865513
"floor",0.25,2,1724,0.939095127610209,0.933333333333333,0.940536620739666,0.4904765625,0.329801876001392,0.339552633559319
"floor",0.25,3,1745,0.93810888252149,0.931232091690544,0.939828080229226,0.4677765625,0.36562485240551,0.373804993119367
"floor",0.25,4,1771,0.945228684359119,0.93854748603352,0.94692144373673,0.5028046875,0.347340692902488,0.355128479594411
"floor",0.5,1,1740,0.96264367816092,0.947826086956522,0.966308243727599,0.51915625,0.263877621969187,0.329249247059085
"floor",0.5,2,1742,0.936854190585534,0.902017291066282,0.945519713261649,0.535640625,0.270241250642688,0.345992317619444
"floor",0.5,3,1786,0.907054871220605,0.886740331491713,0.912219101123595,0.4981578125,0.273004512325199,0.335374388556365
"floor",0.5,4,1798,0.917686318131257,0.87887323943662,0.927234927234927,0.5580984375,0.245894141443568,0.310135292113108
"floor",0.75,1,1724,0.943155452436195,0.851428571428571,0.966521106259097,0.5956421875,0.199155906315433,0.357162186016269
"floor",0.75,2,1742,0.922502870264064,0.822535211267606,0.948089401586157,0.61395625,0.173479170519562,0.342132951802095
"floor",0.75,3,1801,0.861743475846752,0.716666666666667,0.897987508674532,0.60293125,0.175171951821746,0.339335666449049
"floor",0.75,4,1705,0.948387096774194,0.87463556851312,0.966960352422907,0.5841453125,0.186213703608551,0.348725526170078
"contaminate",0.25,1,1809,0.896075179657269,0.868983957219251,0.903135888501742,0.5256796875,0.319549870723193,0.336180789297037
"contaminate",0.25,2,1663,0.963319302465424,0.918429003021148,0.974474474474474,0.5753765625,0.294394791377057,0.314677674854155
"contaminate",0.25,3,1771,0.924901185770751,0.882513661202186,0.935943060498221,0.5481328125,0.305333625078638,0.326263198166293
"contaminate",0.25,4,1796,0.912026726057906,0.874651810584958,0.921363952679193,0.52440625,0.313864362282027,0.336709411535609
"contaminate",0.5,1,1743,0.882960413080895,0.612994350282486,0.951763858891289,0.667909375,0.275234636223567,0.355617241679656
"contaminate",0.5,2,1750,0.896571428571429,0.622159090909091,0.965665236051502,0.65656875,0.28119505125885,0.324952713018374
"contaminate",0.5,3,1763,0.86046511627907,0.613636363636364,0.922041105598866,0.674234375,0.287599005683058,0.3270576956783
"contaminate",0.5,4,1745,0.899140401146132,0.637393767705382,0.96551724137931,0.6683890625,0.290311043399994,0.335633760903677
"contaminate",0.75,1,1776,0.806869369369369,0.45014245014245,0.894736842105263,0.735584375,0.317698688946854,0.339598951695543
"contaminate",0.75,2,1755,0.851282051282051,0.461971830985915,0.95,0.7512703125,0.306127409190213,0.339820309582099
"contaminate",0.75,3,1656,0.888888888888889,0.53416149068323,0.974512743628186,0.7386828125,0.346857147590491,0.3394130694081
"contaminate",0.75,4,1772,0.852144469525959,0.504398826979472,0.935010482180293,0.70985625,0.343343029544626,0.349004791285017
