"setting","fdr","repl_p","anchor","metric","n_prog","auc_null","auc_real","diff"
"TCGA->CGGA-325",0.1,0.1,"idh","absd",6517,0.51132574825519,0.768333506873386,0.257007758618196
"TCGA->array-301",0.01,0.01,"grade","prod",5733,0.833526269475903,0.929843118761629,0.0963168492857256
"TCGA->array-301",0.01,0.01,"grade","absd",5733,0.496204995376493,0.770099588130296,0.273894592753804
"TCGA->array-301",0.01,0.01,"idh","prod",5733,0.824012160321359,0.857824474082352,0.0338123137609933
"TCGA->array-301",0.01,0.01,"idh","absd",5733,0.628265289888936,0.63324428657477,0.00497899668583379
"TCGA->array-301",0.01,0.05,"grade","prod",5733,0.844986013311147,0.930522217522588,0.0855362042114406
"TCGA->array-301",0.01,0.05,"grade","absd",5733,0.497869521908027,0.789416863463866,0.291547341555839
"TCGA->array-301",0.01,0.05,"idh","prod",5733,0.822329647739807,0.858746754314852,0.0364171065750455
"TCGA->array-301",0.01,0.05,"idh","absd",5733,0.611489788565076,0.643401125562488,0.0319113369974112
"TCGA->array-301",0.01,0.1,"grade","prod",5733,0.856439960500476,0.935758039125473,0.0793180786249972
"TCGA->array-301",0.01,0.1,"grade","absd",5733,0.504796338938016,0.806378428988343,0.301582090050327
"TCGA->array-301",0.01,0.1,"idh","prod",5733,0.820150775835743,0.867016210671064,0.0468654348353214
"TCGA->array-301",0.01,0.1,"idh","absd",5733,0.598509851475548,0.651798722709696,0.0532888712341478
"TCGA->array-301",0.05,0.01,"grade","prod",6326,0.84945025379261,0.927603010106256,0.0781527563136459
"TCGA->array-301",0.05,0.01,"grade","absd",6326,0.499761864322285,0.745438807708348,0.245676943386063
"TCGA->array-301",0.05,0.01,"idh","prod",6326,0.842394864325792,0.857768440048367,0.0153735757225749
"TCGA->array-301",0.05,0.01,"idh","absd",6326,0.633870178228497,0.61139486267505,-0.0224753155534474
"TCGA->array-301",0.05,0.05,"grade","prod",6326,0.85625674600791,0.926889830798249,0.0706330847903385
"TCGA->array-301",0.05,0.05,"grade","absd",6326,0.502199433684202,0.763047660018058,0.260848226333856
"TCGA->array-301",0.05,0.05,"idh","prod",6326,0.836412516222272,0.856632960009463,0.0202204437871912
"TCGA->array-301",0.05,0.05,"idh","absd",6326,0.616014954523033,0.622526640796761,0.00651168627372767
"TCGA->array-301",0.05,0.1,"grade","prod",6326,0.864427914014691,0.931898696631591,0.0674707826169003
"TCGA->array-301",0.05,0.1,"grade","absd",6326,0.506528316445672,0.778001886221693,0.271473569776021
"TCGA->array-301",0.05,0.1,"idh","prod",6326,0.834903272919802,0.863454147550275,0.0285508746304731
"TCGA->array-301",0.05,0.1,"idh","absd",6326,0.604812776713603,0.629249373777156,0.0244365970635527
"TCGA->array-301",0.1,0.01,"grade","prod",6568,0.85707892085509,0.926822116377007,0.0697431955219173
"TCGA->array-301",0.1,0.01,"grade","absd",6568,0.502430850771803,0.736834327802503,0.234403477030699
"TCGA->array-301",0.1,0.01,"idh","prod",6568,0.850616559906579,0.85835026149427,0.00773370158769016
"TCGA->array-301",0.1,0.01,"idh","absd",6568,0.634833946888526,0.602504210337464,-0.0323297365510623
"TCGA->array-301",0.1,0.05,"grade","prod",6568,0.862530582277934,0.926687037339981,0.0641564550620464
"TCGA->array-301",0.1,0.05,"grade","absd",6568,0.506746779818396,0.752185236013485,0.245438456195089
"TCGA->array-301",0.1,0.05,"idh","prod",6568,0.843629168961012,0.85783181202031,0.014202643059298
"TCGA->array-301",0.1,0.05,"idh","absd",6568,0.616102203651519,0.612504135765681,-0.00359806788583783
"TCGA->array-301",0.1,0.1,"grade","prod",6568,0.868492970808131,0.930700151286481,0.0622071804783494
"TCGA->array-301",0.1,0.1,"grade","absd",6568,0.509506236381303,0.766729047140722,0.257222810759419
"TCGA->array-301",0.1,0.1,"idh","prod",6568,0.841104401010514,0.863108471088003,0.0220040700774887
"TCGA->array-301",0.1,0.1,"idh","absd",6568,0.604850630242714,0.618687586369029,0.0138369561263151
